"Start Date","End Date","Start Revision","End Revision","Revisions"
"2013-04-23 21:41:42","2013-04-24 01:01:41","2","10","9"
"2013-04-24 19:05:26","2013-04-25 01:13:53","11","27","17"
"2013-04-25 11:38:48","2013-04-25 16:42:58","28","39","12"
"2013-04-25 18:16:03","2013-04-25 19:01:03","40","40","1"
"2013-04-27 14:06:16","2013-04-27 18:30:36","41","48","8"
"2013-04-27 19:09:49","2013-04-28 01:59:07","49","62","14"
"2013-04-28 20:16:50","2013-04-28 22:04:37","63","66","4"
"2013-04-28 22:41:01","2013-04-29 03:24:12","67","80","14"
"2013-04-29 15:48:44","2013-04-29 16:33:44","81","81","1"
"2013-04-30 19:24:28","2013-04-30 20:18:37","82","83","2"
"2013-04-30 21:11:50","2013-05-01 01:28:40","84","92","9"
"2013-05-01 11:22:00","2013-05-01 13:18:06","93","97","5"
"2013-05-01 14:21:01","2013-05-02 00:08:31","98","120","23"
"2013-05-04 12:05:32","2013-05-04 12:50:32","122","122","1"
"2013-05-04 13:45:53","2013-05-04 17:03:20","123","132","10"
"2013-05-04 23:51:45","2013-05-05 00:43:28","133","134","2"
"2013-05-07 18:06:43","2013-05-07 18:51:43","135","135","1"
"2013-05-11 11:43:07","2013-05-11 20:56:56","137","167","31"
"2013-05-12 01:46:21","2013-05-12 02:53:09","168","169","2"
"2013-05-14 08:12:43","2013-05-14 10:00:57","170","173","4"
"2013-05-15 13:49:34","2013-05-15 14:34:34","174","174","1"
"2013-05-22 20:15:57","2013-05-23 00:25:22","176","186","11"
"2013-05-23 10:18:47","2013-05-23 11:19:07","187","188","2"
"2013-05-23 12:52:19","2013-05-23 18:26:32","189","205","17"
"2013-05-24 16:34:00","2013-05-24 17:19:00","206","206","1"
"2013-05-28 16:48:41","2013-05-28 17:33:41","207","207","1"
"2013-05-31 11:01:23","2013-05-31 12:15:28","208","210","3"
"2013-05-31 13:02:31","2013-05-31 14:12:33","211","212","2"
"2013-06-06 11:36:05","2013-06-06 12:48:28","214","218","5"
"2013-06-06 13:32:13","2013-06-06 18:48:01","219","236","18"
"2013-06-06 19:36:40","2013-06-07 00:33:09","237","249","13"
"2013-06-07 01:09:40","2013-06-07 02:06:30","250","253","4"
"2013-06-11 00:38:36","2013-06-11 01:30:58","254","256","3"
"2013-06-12 01:12:05","2013-06-12 01:57:05","257","257","1"
"2013-07-06 13:37:24","2013-07-06 14:24:22","258","259","2"
"2013-07-11 11:06:45","2013-07-11 13:30:22","261","265","5"
"2013-07-11 14:28:32","2013-07-11 18:09:54","266","273","8"
"2013-07-11 21:00:33","2013-07-12 01:24:29","274","289","16"
"2013-07-15 10:06:24","2013-07-15 10:51:24","290","290","1"
"2013-07-25 13:00:12","2013-07-25 15:04:36","292","295","4"
"2013-07-25 16:58:57","2013-07-25 18:54:01","296","300","5"
"2013-07-25 23:37:00","2013-07-26 02:25:15","301","310","10"
"2013-08-08 11:20:31","2013-08-08 12:05:31","312","312","1"
