"Start Date","End Date","Start Revision","End Revision","Revisions"
"2013-04-23 21:41:42","2013-04-24 01:16:41","2","10","9"
"2013-04-24 19:05:26","2013-04-25 01:28:53","11","27","17"
"2013-04-25 11:38:48","2013-04-25 16:57:58","28","39","12"
"2013-04-25 18:16:03","2013-04-25 19:16:03","40","40","1"
"2013-04-27 14:06:16","2013-04-28 02:14:07","41","62","22"
"2013-04-28 20:16:50","2013-04-29 03:39:12","63","80","18"
"2013-04-29 15:48:44","2013-04-29 16:48:44","81","81","1"
"2013-04-30 19:24:28","2013-04-30 20:33:37","82","83","2"
"2013-04-30 21:11:50","2013-04-30 23:59:59","84","92","9"
"2013-05-01 00:00:00","2013-05-01 01:43:40","84","92","0"
"2013-05-01 11:22:00","2013-05-01 13:33:06","93","97","5"
"2013-05-01 14:21:01","2013-05-02 00:23:31","98","120","23"
"2013-05-04 12:05:32","2013-05-04 13:05:32","122","122","1"
"2013-05-04 13:45:53","2013-05-04 17:18:20","123","132","10"
"2013-05-04 23:51:45","2013-05-05 00:58:28","133","134","2"
"2013-05-07 18:06:43","2013-05-07 19:06:43","135","135","1"
"2013-05-11 11:43:07","2013-05-11 21:11:56","137","167","31"
"2013-05-12 01:46:21","2013-05-12 03:08:09","168","169","2"
"2013-05-14 08:12:43","2013-05-14 10:15:57","170","173","4"
"2013-05-15 13:49:34","2013-05-15 14:49:34","174","174","1"
"2013-05-22 20:15:57","2013-05-23 00:40:22","176","186","11"
"2013-05-23 10:18:47","2013-05-23 11:34:07","187","188","2"
"2013-05-23 12:52:19","2013-05-23 18:41:32","189","205","17"
"2013-05-24 16:34:00","2013-05-24 17:34:00","206","206","1"
"2013-05-28 16:48:41","2013-05-28 17:48:41","207","207","1"
"2013-05-31 11:01:23","2013-05-31 12:30:28","208","210","3"
"2013-05-31 13:02:31","2013-05-31 14:27:33","211","212","2"
"2013-06-06 11:36:05","2013-06-06 19:03:01","214","236","23"
"2013-06-06 19:36:40","2013-06-07 02:21:30","237","253","17"
"2013-06-11 00:38:36","2013-06-11 01:45:58","254","256","3"
"2013-06-12 01:12:05","2013-06-12 02:12:05","257","257","1"
"2013-07-06 13:37:24","2013-07-06 14:39:22","258","259","2"
"2013-07-11 11:06:45","2013-07-11 13:45:22","261","265","5"
"2013-07-11 14:28:32","2013-07-11 18:24:54","266","273","8"
"2013-07-11 21:00:33","2013-07-12 01:39:29","274","289","16"
"2013-07-15 10:06:24","2013-07-15 11:06:24","290","290","1"
"2013-07-25 13:00:12","2013-07-25 15:19:36","292","295","4"
"2013-07-25 16:58:57","2013-07-25 19:09:01","296","300","5"
"2013-07-25 23:37:00","2013-07-26 02:40:15","301","310","10"
"2013-08-08 11:20:31","2013-08-08 12:20:31","312","312","1"
