"Month","Blocks","Seconds","Hours","Revisions","Block Start","Block End"
"2013-04","11","134970","37.491666666667","91","2013-04-23 21:41:42","2013-04-30 23:59:59"
"2013-05","18","167002","46.389444444444","117","2013-05-01 00:00:00","2013-05-31 14:12:33"
"2013-06","6","50332","13.981111111111","44","2013-06-06 11:36:05","2013-06-12 01:57:05"
"2013-07","8","67716","18.81","51","2013-07-06 13:37:24","2013-07-26 02:25:15"
"2013-08","4","28970","8.0472222222222","22","2013-08-08 11:20:31","2013-08-09 01:49:08"
"2013-09","14","93296","25.915555555556","58","2013-09-19 14:37:17","2013-09-28 12:48:06"
"2013-10","17","90845","25.234722222222","64","2013-10-01 12:20:59","2013-10-31 18:01:53"
"2013-11","18","111056","30.848888888889","88","2013-11-01 14:15:41","2013-11-29 13:43:23"
"2013-12","16","140235","38.954166666667","101","2013-12-02 09:56:50","2013-12-27 14:04:03"
"2014-01","19","129699","36.0275","101","2014-01-07 15:22:04","2014-01-30 16:34:47"
